time,frequency,confidence
0.000,0.000,nan
0.010,0.000,nan
0.020,0.000,nan
0.030,0.000,nan
0.040,0.000,nan
0.050,32.718,0.102282
0.060,196.036,0.289007
0.070,264.809,0.193838
0.080,280.047,0.174562
0.090,191.202,0.146737
0.100,38.343,0.564738
0.110,38.622,0.199467
0.120,37.798,0.110285
0.130,36.212,0.109148
0.140,125.376,0.156804
0.150,297.829,0.197215
0.160,298.625,0.208504
0.170,96.955,0.151995
0.180,96.134,0.154349
0.190,131.859,0.186855
0.200,130.023,0.223421
0.210,128.633,0.298352
0.220,36.534,0.318564
0.230,183.143,0.148806
0.240,32.593,0.197749
0.250,88.118,0.164038
0.260,239.351,0.096686
0.270,239.227,0.055417
0.280,235.578,0.067497
0.290,229.212,0.134754
0.300,223.266,0.166687
0.310,190.201,0.048994
0.320,98.284,0.169566
0.330,34.158,0.103137
0.340,34.198,0.107406
0.350,271.980,0.206031
0.360,33.873,0.140674
0.370,266.199,0.070716
0.380,254.238,0.047358
0.390,158.789,0.020468
0.400,39.058,0.040980
0.410,287.283,0.159694
0.420,300.621,0.069500
0.430,285.967,0.060252
0.440,41.216,0.091202
0.450,41.060,0.200235
0.460,163.726,0.101498
0.470,32.629,0.109446
0.480,326.933,0.105794
0.490,331.323,0.421643
0.500,32.903,0.247802
0.510,32.615,0.561661
0.520,32.835,0.084643
0.530,33.187,0.064148
0.540,35.835,0.437074
0.550,255.347,0.214009
0.560,259.753,0.256498
0.570,119.810,0.089145
0.580,195.511,0.172998
0.590,274.282,0.059435
0.600,155.238,0.052453
0.610,157.164,0.053215
0.620,182.868,0.223702
0.630,183.197,0.292016
0.640,181.638,0.199125
0.650,39.154,0.126429
0.660,39.027,0.193599
0.670,158.935,0.272994
0.680,318.143,0.096241
0.690,160.085,0.068184
0.700,374.860,0.073847
0.710,32.912,0.055240
0.720,33.197,0.063590
0.730,280.335,0.027666
0.740,286.529,0.434645
0.750,287.566,0.598765
0.760,290.203,0.123377
0.770,288.081,0.478748
0.780,285.028,0.587761
0.790,287.245,0.276607
0.800,314.997,0.291589
0.810,319.160,0.700643
0.820,314.760,0.735304
0.830,307.775,0.408087
0.840,303.989,0.334570
0.850,42.918,0.261684
0.860,311.174,0.153987
0.870,283.216,0.440328
0.880,277.275,0.370085
0.890,272.903,0.305257
0.900,311.741,0.222778
0.910,309.041,0.268851
0.920,309.757,0.133242
0.930,43.753,0.147395
0.940,31.996,0.042328
0.950,81.446,0.023218
0.960,75.846,0.036586
0.970,310.163,0.044788
0.980,43.789,0.184755
0.990,43.407,0.165794
1.000,43.365,0.138659
1.010,313.688,0.029763
1.020,130.308,0.069539
1.030,341.630,0.629047
1.040,342.360,0.512762
1.050,346.019,0.263288
1.060,348.922,0.262176
1.070,315.767,0.246046
1.080,32.158,0.125892
1.090,271.693,0.093737
1.100,132.645,0.103986
1.110,133.102,0.611210
1.120,132.301,0.114163
1.130,32.949,0.076486
1.140,32.878,0.021217
1.150,32.768,0.009279
1.160,32.405,0.033584
1.170,36.501,0.689725
1.180,222.426,0.240104
1.190,267.715,0.346719
1.200,268.208,0.415924
1.210,270.129,0.462914
1.220,271.921,0.575053
1.230,269.155,0.569759
1.240,315.078,0.137958
1.250,312.672,0.156571
1.260,312.213,0.203701
1.270,35.680,0.182675
1.280,177.594,0.200199
1.290,276.493,0.088542
1.300,229.700,0.091694
1.310,229.827,0.212609
1.320,229.712,0.169623
1.330,284.918,0.375140
1.340,267.086,0.511834
1.350,270.232,0.557675
1.360,266.849,0.187306
1.370,264.724,0.183653
1.380,32.555,0.056582
1.390,32.566,0.208477
1.400,32.445,0.121560
1.410,32.525,0.355029
1.420,115.026,0.181906
1.430,261.705,0.193327
1.440,262.744,0.528113
1.450,262.083,0.717822
1.460,264.185,0.678514
1.470,271.984,0.529210
1.480,240.311,0.299718
1.490,121.798,0.173092
1.500,258.399,0.201409
1.510,245.695,0.266304
1.520,238.409,0.231306
1.530,283.947,0.516842
1.540,290.184,0.158207
1.550,119.093,0.121639
1.560,35.345,0.233344
1.570,35.107,0.189749
1.580,281.520,0.132200
1.590,275.228,0.163315
1.600,284.180,0.180972
1.610,123.849,0.339268
1.620,120.391,0.217751
1.630,34.740,0.146579
1.640,33.292,0.135013
1.650,226.626,0.192098
1.660,32.473,0.100041
1.670,229.542,0.114188
1.680,135.461,0.290267
1.690,151.805,0.192646
1.700,193.555,0.133121
1.710,175.312,0.339650
1.720,271.879,0.498907
1.730,269.191,0.602750
1.740,270.399,0.752272
1.750,272.969,0.846254
1.760,273.442,0.920923
