time,frequency,confidence
0.000,0.000,nan
0.010,0.000,nan
0.020,0.000,nan
0.030,0.000,nan
0.040,0.000,nan
0.050,0.000,nan
0.060,0.000,nan
0.070,0.000,nan
0.080,0.000,nan
0.090,0.000,nan
0.100,0.000,nan
0.110,0.000,nan
0.120,0.000,nan
0.130,555.136,0.248726
0.140,534.229,0.401407
0.150,525.507,0.709279
0.160,522.867,0.833859
0.170,523.722,0.875796
0.180,524.519,0.862942
0.190,525.211,0.810971
0.200,526.226,0.699136
0.210,531.235,0.448990
0.220,267.287,0.403188
0.230,275.253,0.456749
0.240,279.268,0.351033
0.250,138.162,0.576559
0.260,138.526,0.689575
0.270,277.430,0.593835
0.280,276.400,0.710622
0.290,276.300,0.613382
0.300,277.052,0.507770
0.310,138.240,0.755495
0.320,138.379,0.909269
0.330,138.408,0.893352
0.340,138.384,0.918883
0.350,138.456,0.922207
0.360,138.445,0.919569
0.370,138.711,0.843152
0.380,140.777,0.718711
0.390,141.503,0.274759
0.400,1304.185,0.055299
0.410,654.200,0.563786
0.420,656.875,0.759412
0.430,659.284,0.860391
0.440,660.013,0.846961
0.450,92.220,0.308407
0.460,92.538,0.696993
0.470,92.656,0.872194
0.480,92.634,0.933227
0.490,92.655,0.925910
0.500,92.631,0.908892
0.510,92.683,0.910964
0.520,92.743,0.917161
0.530,94.165,0.475366
0.540,292.576,0.295372
0.550,301.857,0.314013
0.560,306.747,0.259833
0.570,156.040,0.229767
0.580,157.481,0.329736
0.590,157.204,0.511658
0.600,156.572,0.419076
0.610,555.353,0.500725
0.620,555.697,0.690527
0.630,555.192,0.709185
0.640,555.517,0.739000
0.650,554.417,0.705469
0.660,554.073,0.695348
0.670,552.725,0.641744
0.680,156.629,0.458570
0.690,156.948,0.818243
0.700,161.640,0.533754
0.710,164.529,0.612976
0.720,164.845,0.618516
0.730,165.883,0.629627
0.740,167.397,0.276390
0.750,167.555,0.514262
0.760,166.088,0.688873
0.770,165.233,0.850951
0.780,164.821,0.918165
0.790,165.245,0.966267
0.800,165.236,0.971135
0.810,165.147,0.970246
0.820,165.165,0.972841
0.830,164.982,0.969827
0.840,164.665,0.934530
0.850,165.187,0.663753
0.860,167.219,0.401149
0.870,169.573,0.285335
0.880,169.558,0.329613
0.890,166.585,0.240224
0.900,163.967,0.404598
0.910,164.306,0.540806
0.920,164.190,0.432688
0.930,165.115,0.490669
0.940,83.766,0.485693
0.950,82.799,0.861904
0.960,82.873,0.905797
0.970,82.781,0.941611
0.980,82.697,0.949001
0.990,82.617,0.950591
1.000,82.774,0.418690
1.010,159.656,0.454515
1.020,158.319,0.310750
1.030,155.088,0.204630
1.040,320.983,0.095373
1.050,325.034,0.631605
1.060,329.489,0.835863
1.070,330.597,0.918554
1.080,330.884,0.920592
1.090,330.380,0.930913
1.100,330.273,0.937745
1.110,330.659,0.935400
1.120,330.535,0.944465
1.130,330.346,0.941499
1.140,329.455,0.915386
1.150,328.114,0.851200
1.160,327.348,0.576835
1.170,128.050,0.297236
1.180,129.448,0.073908
1.190,194.643,0.120120
1.200,192.508,0.185469
1.210,368.975,0.328171
1.220,370.457,0.445563
1.230,184.873,0.545609
1.240,185.310,0.543441
1.250,183.641,0.305032
1.260,92.501,0.772344
1.270,92.828,0.889241
1.280,92.630,0.916309
1.290,92.623,0.917614
1.300,92.535,0.917714
1.310,92.557,0.920173
1.320,93.096,0.515701
1.330,183.171,0.640010
1.340,184.402,0.358843
1.350,189.739,0.361743
1.360,185.572,0.384064
1.370,368.066,0.450940
1.380,185.160,0.699134
1.390,183.478,0.715865
1.400,183.541,0.665989
1.410,182.955,0.751518
1.420,183.170,0.514474
1.430,92.531,0.812912
1.440,92.753,0.883513
1.450,93.173,0.820821
1.460,93.782,0.583681
1.470,93.773,0.256173
1.480,184.525,0.159654
1.490,286.077,0.141018
1.500,280.986,0.330662
1.510,278.911,0.221236
1.520,440.884,0.312506
1.530,440.465,0.609226
1.540,439.941,0.563845
1.550,441.422,0.664067
1.560,441.157,0.592562
1.570,440.853,0.657466
1.580,441.556,0.715877
1.590,441.152,0.747983
1.600,440.224,0.789311
1.610,439.802,0.741252
1.620,439.559,0.560410
1.630,439.418,0.432277
1.640,140.604,0.341114
1.650,166.350,0.246988
1.660,172.995,0.351060
1.670,177.957,0.500090
1.680,178.575,0.412538
1.690,368.389,0.638819
1.700,371.549,0.524561
1.710,184.907,0.563608
1.720,371.083,0.710194
1.730,369.687,0.687041
1.740,367.876,0.531170
1.750,362.757,0.357385
1.760,92.651,0.764263
1.770,92.783,0.883070
