time,frequency,confidence
0.000,352.914,0.154257
0.010,315.691,0.114803
0.020,32.222,0.147204
0.030,291.134,0.124205
0.040,437.683,0.293582
0.050,403.736,0.445379
0.060,404.682,0.452249
0.070,134.704,0.535410
0.080,135.001,0.546162
0.090,135.057,0.587117
0.100,135.151,0.816161
0.110,135.190,0.805365
0.120,135.590,0.706331
0.130,135.204,0.721492
0.140,134.562,0.600190
0.150,134.224,0.827418
0.160,134.405,0.903033
0.170,134.507,0.916426
0.180,134.732,0.894064
0.190,134.845,0.831423
0.200,134.849,0.870736
0.210,135.072,0.861333
0.220,135.349,0.839097
0.230,134.716,0.804065
0.240,268.104,0.658795
0.250,267.732,0.673776
0.260,267.676,0.678179
0.270,268.515,0.780689
0.280,268.719,0.721888
0.290,134.901,0.673184
0.300,134.826,0.773905
0.310,134.772,0.794010
0.320,134.578,0.913368
0.330,134.635,0.882153
0.340,134.753,0.879337
0.350,134.837,0.849429
0.360,134.938,0.853460
0.370,134.931,0.764162
0.380,269.345,0.772791
0.390,268.878,0.892943
0.400,269.425,0.846873
0.410,269.453,0.825570
0.420,269.526,0.874048
0.430,269.608,0.844099
0.440,269.688,0.824638
0.450,269.550,0.806334
0.460,269.064,0.808699
0.470,268.508,0.748933
0.480,268.214,0.773399
0.490,267.927,0.776669
0.500,268.817,0.701629
0.510,268.380,0.412409
0.520,133.720,0.428730
0.530,134.869,0.802341
0.540,135.645,0.897689
0.550,136.239,0.842901
0.560,136.373,0.851472
0.570,136.637,0.789835
0.580,136.584,0.722543
0.590,135.873,0.843459
0.600,135.605,0.752536
0.610,135.792,0.779258
0.620,135.684,0.736930
0.630,272.364,0.672114
0.640,272.104,0.803958
0.650,271.830,0.776827
0.660,136.134,0.735070
0.670,135.967,0.787505
0.680,135.783,0.833468
0.690,135.536,0.811617
0.700,135.323,0.783647
0.710,135.075,0.790230
0.720,134.943,0.708772
0.730,134.825,0.792767
0.740,134.910,0.892733
0.750,135.239,0.855273
0.760,135.342,0.911819
0.770,135.578,0.923075
0.780,135.771,0.920717
0.790,135.483,0.920894
0.800,135.465,0.850229
0.810,270.629,0.678194
0.820,269.797,0.840021
0.830,269.541,0.841861
0.840,268.873,0.881410
0.850,269.284,0.874166
0.860,268.880,0.830050
0.870,269.024,0.801055
0.880,269.976,0.764279
0.890,269.890,0.786662
0.900,270.488,0.807394
0.910,270.980,0.876295
0.920,270.621,0.879997
0.930,270.624,0.904289
0.940,270.007,0.919277
0.950,270.084,0.894948
0.960,269.353,0.888362
0.970,269.244,0.914794
0.980,268.374,0.783963
0.990,266.757,0.497623
1.000,346.429,0.321999
1.010,346.052,0.555319
1.020,345.718,0.533269
1.030,519.272,0.453065
1.040,517.824,0.757691
1.050,515.898,0.612542
1.060,513.965,0.495542
1.070,515.114,0.719523
1.080,515.276,0.521495
1.090,515.548,0.340889
1.100,260.960,0.337882
1.110,262.727,0.340067
1.120,262.566,0.670296
1.130,262.177,0.701834
1.140,261.788,0.669627
1.150,260.734,0.797923
1.160,260.634,0.730884
1.170,261.205,0.541710
1.180,260.842,0.502251
1.190,262.226,0.402777
1.200,132.614,0.496014
1.210,132.547,0.591574
1.220,132.559,0.606573
1.230,133.625,0.649394
1.240,134.013,0.407261
1.250,134.592,0.342991
1.260,268.313,0.500526
1.270,266.748,0.636880
1.280,266.185,0.825401
1.290,267.207,0.802481
1.300,267.821,0.864606
1.310,267.698,0.763100
1.320,133.687,0.778486
1.330,133.580,0.793085
1.340,133.310,0.662921
1.350,265.758,0.725762
1.360,265.156,0.815227
1.370,266.239,0.809457
1.380,267.871,0.782660
1.390,269.182,0.865452
1.400,269.542,0.857710
1.410,270.268,0.857059
1.420,270.905,0.920635
1.430,270.439,0.924897
1.440,270.102,0.915902
1.450,269.243,0.929550
1.460,268.379,0.944195
1.470,267.637,0.924074
1.480,267.373,0.908645
1.490,266.934,0.897090
1.500,266.715,0.892780
1.510,266.079,0.886513
1.520,266.424,0.796752
1.530,268.513,0.738512
1.540,272.439,0.825787
1.550,272.976,0.848252
1.560,271.962,0.841494
1.570,271.345,0.905908
1.580,270.969,0.897874
1.590,270.063,0.901071
1.600,269.093,0.897053
1.610,268.546,0.899333
1.620,268.197,0.895669
1.630,268.333,0.878675
1.640,268.091,0.854595
1.650,268.438,0.768322
1.660,267.691,0.706016
1.670,267.504,0.732150
1.680,268.979,0.772757
1.690,269.227,0.769801
1.700,269.921,0.811977
1.710,269.893,0.826580
1.720,268.028,0.875663
1.730,267.408,0.846549
1.740,266.374,0.874300
1.750,265.993,0.868863
1.760,132.956,0.636785
1.770,134.003,0.807769
1.780,134.596,0.898850
1.790,134.832,0.902370
1.800,134.911,0.745237
1.810,134.419,0.774091
1.820,134.314,0.709857
1.830,269.650,0.814839
1.840,269.531,0.901574
1.850,268.198,0.929174
1.860,266.443,0.927981
1.870,265.871,0.936426
1.880,266.535,0.913033
1.890,265.717,0.903756
1.900,265.388,0.899489
1.910,265.989,0.834621
1.920,266.138,0.722744
1.930,404.119,0.564450
1.940,404.911,0.781299
1.950,406.076,0.775956
1.960,405.339,0.793242
1.970,404.260,0.685020
1.980,269.346,0.407546
1.990,270.553,0.710335
2.000,270.500,0.814205
2.010,270.235,0.859403
2.020,270.101,0.871911
2.030,270.292,0.899503
2.040,270.598,0.899677
2.050,271.177,0.931486
2.060,272.035,0.924155
2.070,272.440,0.915742
2.080,272.165,0.904144
2.090,271.392,0.914390
2.100,270.800,0.914534
2.110,269.989,0.895349
2.120,269.156,0.910872
2.130,268.538,0.907746
2.140,266.864,0.893466
2.150,266.619,0.882995
2.160,267.054,0.841038
2.170,268.485,0.849140
2.180,269.726,0.829512
2.190,269.148,0.844202
2.200,270.330,0.842895
2.210,270.972,0.878565
2.220,271.046,0.882468
2.230,270.486,0.884124
2.240,270.116,0.885069
2.250,269.291,0.900220
2.260,267.175,0.874868
2.270,265.870,0.890858
2.280,265.695,0.913449
2.290,266.038,0.902989
2.300,266.798,0.861220
2.310,267.115,0.854789
2.320,265.964,0.909178
2.330,265.484,0.920220
2.340,265.849,0.914039
2.350,266.563,0.878490
2.360,268.394,0.862879
2.370,270.279,0.840214
2.380,270.565,0.847678
2.390,270.550,0.874779
2.400,270.784,0.830461
2.410,270.319,0.732205
2.420,134.569,0.690923
2.430,134.283,0.810398
2.440,134.324,0.650797
2.450,134.980,0.687615
2.460,135.229,0.851058
2.470,270.936,0.650281
2.480,270.894,0.670654
2.490,272.256,0.545854
2.500,271.315,0.531099
2.510,270.569,0.492457
2.520,267.833,0.730809
2.530,268.696,0.834703
2.540,269.935,0.822919
2.550,268.933,0.486826
2.560,302.095,0.334206
2.570,323.680,0.567817
2.580,326.958,0.646838
