time,frequency,confidence
0.000,282.711,0.049642
0.010,32.288,0.013340
0.020,33.021,0.098065
0.030,31.949,0.005621
0.040,41.082,0.001272
0.050,112.528,0.010073
0.060,221.917,0.302135
0.070,222.979,0.439818
0.080,225.479,0.457720
0.090,223.180,0.583040
0.100,223.484,0.364236
0.110,112.444,0.385521
0.120,113.581,0.371491
0.130,111.832,0.446739
0.140,111.857,0.321391
0.150,225.107,0.231759
0.160,229.658,0.222881
0.170,112.562,0.377051
0.180,112.463,0.417433
0.190,112.743,0.308296
0.200,113.052,0.346480
0.210,112.056,0.283419
0.220,222.301,0.337004
0.230,244.368,0.301916
0.240,248.890,0.421304
0.250,248.036,0.370399
0.260,248.811,0.521039
0.270,250.545,0.360476
0.280,122.236,0.447108
0.290,250.565,0.381799
0.300,249.814,0.446217
0.310,249.237,0.333340
0.320,248.402,0.376304
0.330,122.124,0.389428
0.340,120.675,0.410830
0.350,117.178,0.419698
0.360,112.763,0.231604
0.370,112.638,0.227790
0.380,165.920,0.200180
0.390,223.807,0.240144
0.400,112.377,0.198489
0.410,112.572,0.289198
0.420,112.918,0.347921
0.430,113.852,0.314253
0.440,112.960,0.332825
0.450,225.006,0.154546
0.460,228.730,0.190757
0.470,231.482,0.153658
0.480,165.821,0.196371
0.490,122.796,0.161138
0.500,121.560,0.304707
0.510,240.857,0.231452
0.520,122.796,0.192653
0.530,245.738,0.223388
0.540,123.372,0.295363
0.550,122.187,0.392497
0.560,123.533,0.392574
0.570,123.478,0.654302
0.580,122.938,0.563132
0.590,123.077,0.581321
0.600,122.929,0.570650
0.610,123.485,0.582988
0.620,123.017,0.638740
0.630,121.989,0.486406
0.640,122.466,0.528760
0.650,122.376,0.409777
0.660,122.931,0.378430
0.670,122.459,0.278816
0.680,122.155,0.197229
0.690,123.237,0.323307
0.700,121.807,0.344623
0.710,121.966,0.310962
0.720,123.135,0.450722
0.730,123.338,0.421138
0.740,122.284,0.336206
0.750,123.936,0.407177
0.760,123.654,0.419289
0.770,123.196,0.590473
0.780,122.108,0.442017
0.790,122.353,0.516944
0.800,246.891,0.622163
0.810,246.037,0.672385
0.820,247.008,0.601591
0.830,247.715,0.550586
0.840,122.575,0.369755
0.850,117.159,0.292568
0.860,113.294,0.356821
0.870,111.421,0.355826
0.880,110.759,0.469874
0.890,110.881,0.343505
0.900,111.000,0.518827
0.910,111.253,0.511730
0.920,111.038,0.474299
0.930,111.063,0.429942
0.940,110.952,0.387935
0.950,330.560,0.608483
0.960,330.371,0.459584
0.970,110.902,0.399126
0.980,330.732,0.247997
0.990,110.809,0.373471
1.000,111.088,0.276932
1.010,111.071,0.231799
1.020,329.780,0.504811
1.030,329.993,0.189488
1.040,331.070,0.279270
1.050,112.047,0.267666
1.060,112.031,0.418866
1.070,112.507,0.386494
1.080,112.724,0.202379
1.090,221.634,0.262256
1.100,124.466,0.366713
1.110,226.778,0.292017
1.120,123.361,0.347828
1.130,123.238,0.492714
1.140,123.080,0.444100
1.150,123.182,0.341292
1.160,123.575,0.226391
1.170,221.861,0.249212
1.180,123.957,0.315351
1.190,124.130,0.228443
1.200,123.255,0.334538
1.210,122.716,0.256849
1.220,122.782,0.334481
1.230,123.106,0.307434
1.240,123.904,0.407056
1.250,123.802,0.520848
1.260,332.942,0.377154
1.270,332.505,0.545033
1.280,332.707,0.745480
1.290,123.689,0.639100
1.300,123.275,0.586675
1.310,122.534,0.512687
1.320,331.299,0.639305
1.330,123.330,0.496049
1.340,123.572,0.508300
1.350,123.268,0.515113
1.360,331.233,0.547180
1.370,122.689,0.403803
1.380,123.143,0.400524
1.390,245.096,0.393187
1.400,241.264,0.502089
1.410,123.770,0.305996
1.420,124.040,0.526096
1.430,123.581,0.462697
1.440,123.242,0.523668
1.450,123.586,0.569297
1.460,123.680,0.518676
1.470,123.571,0.367804
1.480,123.420,0.144970
1.490,123.735,0.225718
1.500,122.967,0.196914
1.510,258.008,0.264736
1.520,274.007,0.210719
1.530,98.848,0.458164
1.540,98.905,0.544348
1.550,100.025,0.551661
1.560,101.723,0.472763
1.570,102.945,0.195096
1.580,107.459,0.129595
1.590,109.190,0.224831
1.600,110.586,0.627243
1.610,112.387,0.480224
1.620,114.197,0.449758
1.630,115.778,0.580782
1.640,116.559,0.520529
1.650,120.597,0.392128
1.660,123.375,0.561201
1.670,126.067,0.623867
1.680,126.695,0.793659
1.690,126.691,0.786926
1.700,128.156,0.669528
1.710,129.540,0.591118
1.720,131.239,0.554909
1.730,264.595,0.535768
1.740,267.024,0.638507
1.750,268.367,0.673289
1.760,134.344,0.522617
1.770,270.108,0.580602
1.780,267.823,0.622488
1.790,133.274,0.653893
1.800,132.980,0.715590
1.810,133.360,0.500238
1.820,266.936,0.517280
1.830,264.514,0.615117
1.840,260.931,0.696380
1.850,260.379,0.739976
1.860,261.771,0.592185
1.870,265.360,0.667802
1.880,267.180,0.639106
1.890,264.340,0.483804
1.900,262.672,0.624439
1.910,130.953,0.569684
1.920,262.876,0.539290
1.930,265.164,0.583975
1.940,266.398,0.487432
1.950,131.246,0.403141
1.960,129.809,0.516403
1.970,258.456,0.565342
1.980,129.046,0.455928
1.990,128.297,0.603966
2.000,129.272,0.644291
2.010,130.644,0.587265
2.020,263.438,0.561595
2.030,131.969,0.613441
2.040,131.864,0.651680
2.050,131.731,0.676424
2.060,132.540,0.724247
2.070,132.171,0.529915
2.080,131.473,0.761750
2.090,130.751,0.711311
2.100,130.422,0.608101
2.110,262.625,0.762393
2.120,131.509,0.757013
2.130,131.710,0.646883
2.140,263.957,0.764529
2.150,263.832,0.854074
2.160,262.879,0.882252
2.170,263.420,0.898350
2.180,263.493,0.865273
2.190,263.965,0.816596
2.200,263.545,0.785742
2.210,261.353,0.591438
2.220,260.129,0.619893
2.230,259.599,0.707594
2.240,260.727,0.651732
