time,frequency,confidence
0.0,0.0,nan
0.01,0.0,nan
0.02,0.0,nan
0.03,0.0,nan
0.04,0.0,nan
0.05,32.717943890050904,0.1022816
0.06,32.298516123970266,0.28900728
0.07,32.59854945059565,0.19383752
0.08,32.81226184911044,0.17456234
0.09,34.196597295141935,0.14673734
0.1,38.343009912507576,0.5647379
0.11,38.62176121449592,0.19946697
0.12,37.7983910365909,0.11028454
0.13,36.212460447888574,0.10914841
0.14,33.639235005688825,0.15680408
0.15,32.2667747210737,0.19721475
0.16,32.4777790758369,0.20850351
0.17,32.283723527660385,0.15199488
0.18,32.295606969251395,0.15434942
0.19,32.637396528620656,0.18685478
0.2,32.642569598796925,0.22342142
0.21,32.81582527762312,0.2983516
0.22,36.53353934059113,0.3185643
0.23,33.443167901569495,0.14880574
0.24,32.592575297381934,0.19774893
0.25,32.50109208301521,0.16403836
0.26,32.53007018636258,0.09668633
0.27,32.658402865863984,0.055416822
0.28,32.67876139036649,0.06749657
0.29,32.2839584318648,0.13475433
0.3,32.02151949869729,0.16668689
0.31,32.1045134835023,0.04899445
0.32,32.597563300884545,0.16956642
0.33,34.15755276331433,0.10313657
0.34,34.19825096057517,0.1074056
0.35,33.99600765323313,0.2060313
0.36,33.872533564957294,0.140674
0.37,33.723753114173114,0.070715815
0.38,35.70104550664948,0.047357827
0.39,38.43973127023241,0.020468205
0.4,39.057787625492395,0.04098013
0.41,39.44590988670651,0.15969428
0.42,39.73143441881176,0.06950003
0.43,41.2350704702051,0.06025192
0.44,41.21624305937076,0.09120181
0.45,41.06026066159882,0.20023459
0.46,43.36487138299316,0.10149816
0.47,47.57771539108204,0.10944599
0.48,53.46331113725233,0.10579395
0.49,56.72952488531928,0.4216435
0.5,63.97426858700976,0.2478019
0.51,66.83495399246657,0.5616613
0.52,75.2640644125124,0.08464256
0.53,82.92630855132073,0.064148456
0.54,91.28715007672815,0.43707383
0.55,98.20559341127465,0.2140092
0.56,110.90796204566061,0.25649807
0.57,119.81023605968997,0.089144826
0.58,130.3395136978453,0.17299765
0.59,139.28296742092692,0.059435308
0.6,155.23794900795724,0.052453488
0.61,157.163698896156,0.053215235
0.62,169.8835116241808,0.22370163
0.63,183.19744433005218,0.29201558
0.64,181.6381778504248,0.19912508
0.65,189.43992858477867,0.12642911
0.66,196.6280903809437,0.1935992
0.67,209.54777533691683,0.2729945
0.68,212.19043286502784,0.09624064
0.69,222.95326155423214,0.06818381
0.7,240.92709085939322,0.07384667
0.71,256.36984611720396,0.055240065
0.72,268.03789248191,0.06358996
0.73,280.3349075023543,0.02766645
0.74,286.52884631305915,0.43464538
0.75,287.56608832305665,0.59876484
0.76,290.20300823827796,0.12337729
0.77,288.0812954460808,0.47874793
0.78,285.0279438572061,0.58776104
0.79,287.2451170260174,0.27660656
0.8,314.99695441406953,0.29158854
0.81,319.15986740404117,0.70064276
0.82,314.759999558653,0.73530424
0.83,307.7750567144858,0.4080872
0.84,303.98890329972437,0.33456957
0.85,304.39024420737445,0.26168412
0.86,311.17446097073974,0.15398696
0.87,283.21557319623895,0.44032833
0.88,277.27543650496074,0.37008542
0.89,295.43377170508177,0.30525684
0.9,311.7412931873704,0.22277817
0.91,309.0412063939351,0.2688508
0.92,309.7572396547145,0.1332424
0.93,308.9039023447586,0.14739528
0.94,314.5495078992449,0.04232806
0.95,315.5242597610522,0.023218095
0.96,311.4175287538286,0.036585927
0.97,310.16330548864937,0.044788003
0.98,306.38750068595067,0.18475452
0.99,310.0384748032752,0.1657944
1.0,314.3866061827889,0.1386593
1.01,313.68842586486954,0.029763162
1.02,327.31139695064456,0.06953886
1.03,341.63003481346163,0.6290468
1.04,342.3599514563728,0.51276207
1.05,346.0185583192723,0.26328784
1.06,348.9217741724174,0.2621764
1.07,315.766693367761,0.2460455
1.08,285.07697773402526,0.12589216
1.09,271.69325854837416,0.093737334
1.1,269.3605793550552,0.10398638
1.11,270.88247070938934,0.6112103
1.12,268.4039553948944,0.114162564
1.13,268.6339597530381,0.076485515
1.14,269.29633036545715,0.02121666
1.15,270.54663147587837,0.0092793405
1.16,268.852391512949,0.033584386
1.17,262.8275975777723,0.6897247
1.18,264.74393724390757,0.24010411
1.19,267.7146653398769,0.34671932
1.2,268.2076187704888,0.41592422
1.21,270.12859444345895,0.46291366
1.22,271.9208158262366,0.57505345
1.23,269.1546866897889,0.5697589
1.24,281.47100503965373,0.13795847
1.25,312.67175877911404,0.15657115
1.26,312.2129745596322,0.2037009
1.27,288.489350501599,0.182675
1.28,271.4983966080532,0.20019898
1.29,236.85263439014585,0.088541836
1.3,229.7001228464427,0.091694415
1.31,229.82711202249283,0.21260923
