time,frequency,confidence
0.000,676.584,0.232751
0.010,637.186,0.056173
0.020,81.921,0.076432
0.030,205.606,0.273591
0.040,206.567,0.318343
0.050,207.545,0.421935
0.060,207.293,0.436282
0.070,415.424,0.541089
0.080,415.243,0.519090
0.090,207.592,0.565565
0.100,207.601,0.661615
0.110,207.350,0.624077
0.120,207.432,0.594862
0.130,415.627,0.541511
0.140,416.199,0.585125
0.150,415.876,0.475381
0.160,247.394,0.512440
0.170,247.318,0.669084
0.180,247.532,0.660465
0.190,247.182,0.710646
0.200,246.647,0.644624
0.210,247.342,0.332765
0.220,335.959,0.390626
0.230,335.431,0.718618
0.240,333.495,0.849001
0.250,332.374,0.870940
0.260,331.166,0.895776
0.270,330.149,0.936247
0.280,330.216,0.935910
0.290,331.030,0.930898
0.300,331.257,0.874538
0.310,330.848,0.823220
0.320,330.467,0.856760
0.330,330.571,0.855567
0.340,330.889,0.680656
0.350,247.673,0.722951
0.360,247.354,0.854378
0.370,247.679,0.899149
0.380,247.582,0.916404
0.390,247.427,0.920832
0.400,247.431,0.933074
0.410,247.366,0.934905
0.420,247.319,0.938150
0.430,247.411,0.935659
0.440,247.282,0.938024
0.450,247.087,0.935014
0.460,246.729,0.927497
0.470,246.467,0.918272
0.480,246.700,0.930881
0.490,246.645,0.926497
0.500,246.694,0.927765
0.510,246.765,0.935122
0.520,246.974,0.936612
0.530,246.935,0.940986
0.540,246.730,0.921977
0.550,246.313,0.917848
0.560,246.089,0.916118
0.570,246.734,0.831793
0.580,247.967,0.639873
0.590,249.202,0.578682
0.600,248.040,0.510782
0.610,247.748,0.445382
0.620,247.411,0.399820
0.630,247.272,0.392535
0.640,246.884,0.458001
0.650,246.818,0.578123
0.660,246.736,0.689044
0.670,246.321,0.782375
0.680,246.541,0.794949
0.690,246.584,0.815198
0.700,246.892,0.858646
0.710,246.808,0.881252
0.720,246.801,0.888380
0.730,246.457,0.870837
0.740,246.332,0.850553
0.750,247.215,0.830531
0.760,248.620,0.788522
0.770,248.789,0.737775
0.780,248.166,0.773136
0.790,247.700,0.836003
0.800,248.156,0.864652
0.810,247.608,0.865200
0.820,247.532,0.691152
0.830,247.004,0.540403
0.840,247.378,0.357504
0.850,123.894,0.252187
0.860,123.609,0.680887
0.870,123.530,0.631337
0.880,123.701,0.579921
0.890,123.753,0.478885
0.900,248.566,0.573807
0.910,247.931,0.744257
0.920,247.513,0.808875
0.930,247.525,0.834804
0.940,247.483,0.829226
0.950,247.403,0.844622
0.960,247.750,0.898584
0.970,248.315,0.889936
0.980,247.931,0.913507
0.990,247.678,0.927528
1.000,247.492,0.929907
1.010,247.547,0.933738
1.020,247.418,0.925573
1.030,247.871,0.883253
1.040,248.013,0.762466
1.050,333.356,0.647690
1.060,332.696,0.685259
1.070,331.705,0.731740
1.080,330.703,0.826214
1.090,331.316,0.794023
1.100,331.702,0.551440
1.110,246.894,0.867246
1.120,246.543,0.894528
1.130,246.502,0.913910
1.140,246.555,0.913184
1.150,246.584,0.914775
1.160,246.769,0.917622
1.170,246.647,0.927869
1.180,246.781,0.928905
1.190,246.705,0.932246
1.200,246.790,0.922426
1.210,246.604,0.911915
1.220,246.379,0.884220
1.230,246.278,0.858101
1.240,246.136,0.771811
1.250,245.912,0.705951
1.260,245.540,0.698830
1.270,244.766,0.653698
1.280,243.189,0.634778
1.290,243.227,0.693306
1.300,245.559,0.764323
1.310,247.247,0.705499
1.320,247.518,0.443597
1.330,247.729,0.435374
1.340,123.310,0.565505
1.350,123.260,0.525716
1.360,246.857,0.637620
1.370,246.825,0.526190
1.380,247.662,0.748337
1.390,248.285,0.814550
1.400,247.639,0.878428
1.410,247.070,0.878530
1.420,246.775,0.893224
1.430,247.040,0.916025
1.440,247.428,0.906588
1.450,247.838,0.912256
1.460,248.491,0.904248
1.470,248.676,0.889002
1.480,248.414,0.891286
1.490,248.129,0.897570
1.500,247.864,0.909599
1.510,247.586,0.903793
1.520,247.674,0.887434
1.530,247.824,0.879782
1.540,248.398,0.873954
1.550,248.498,0.874663
1.560,248.478,0.871008
1.570,248.406,0.873866
1.580,247.923,0.875658
1.590,247.307,0.910850
1.600,246.528,0.901625
1.610,246.305,0.918103
1.620,247.153,0.898104
1.630,247.707,0.850541
1.640,247.676,0.618006
1.650,248.208,0.452223
1.660,62.074,0.555488
1.670,123.602,0.421431
1.680,61.795,0.531275
1.690,61.921,0.818887
1.700,61.819,0.843736
1.710,61.965,0.710293
1.720,123.818,0.582952
1.730,123.899,0.477087
1.740,123.784,0.575029
1.750,123.525,0.545289
1.760,123.333,0.554381
1.770,246.863,0.784430
1.780,246.509,0.795153
1.790,246.245,0.845163
1.800,246.344,0.871691
1.810,246.486,0.883148
1.820,246.763,0.918544
1.830,246.647,0.914400
1.840,246.573,0.914195
1.850,246.062,0.905155
1.860,245.970,0.879073
1.870,246.197,0.811426
1.880,246.297,0.795094
1.890,246.073,0.739758
1.900,246.077,0.577244
1.910,246.206,0.455236
1.920,247.121,0.448361
1.930,247.263,0.640450
1.940,247.990,0.715158
1.950,247.830,0.735996
1.960,246.667,0.808876
1.970,246.719,0.836428
1.980,246.443,0.887747
1.990,246.324,0.890010
2.000,246.350,0.890742
2.010,246.618,0.884275
2.020,246.168,0.909607
2.030,246.177,0.917947
2.040,246.330,0.913845
2.050,246.942,0.927196
2.060,247.244,0.930696
2.070,247.298,0.896570
2.080,247.260,0.664152
2.090,330.383,0.746599
2.100,330.428,0.881980
2.110,330.733,0.899239
2.120,330.480,0.892414
2.130,330.970,0.887896
2.140,331.720,0.720621
2.150,332.326,0.617232
2.160,331.599,0.484769
2.170,329.773,0.486713
2.180,247.032,0.497566
2.190,246.487,0.793871
2.200,246.346,0.843713
2.210,246.589,0.868574
2.220,247.098,0.915954
2.230,247.438,0.937939
2.240,247.567,0.931724
2.250,247.304,0.935045
2.260,247.227,0.929040
2.270,247.361,0.948325
2.280,247.716,0.945135
2.290,247.673,0.943303
2.300,247.176,0.930518
2.310,246.867,0.920393
2.320,246.596,0.889807
2.330,246.745,0.888865
2.340,247.038,0.906288
2.350,247.124,0.903293
2.360,247.190,0.903641
2.370,247.166,0.893879
2.380,247.321,0.869375
2.390,247.204,0.847513
2.400,247.065,0.849659
2.410,247.007,0.842846
2.420,245.982,0.868845
2.430,246.218,0.873603
2.440,246.264,0.878294
2.450,246.449,0.847058
2.460,246.408,0.841595
2.470,246.567,0.825109
2.480,246.491,0.811329
2.490,246.613,0.813824
2.500,246.014,0.866560
2.510,245.682,0.891992
2.520,245.359,0.885714
2.530,245.379,0.872420
2.540,245.823,0.862267
2.550,246.448,0.672817
2.560,245.853,0.485030
2.570,245.629,0.314039
2.580,245.495,0.320457
2.590,248.606,0.326772
2.600,250.142,0.626819
2.610,248.865,0.681991
2.620,247.443,0.765401
2.630,246.897,0.872588
2.640,246.880,0.912345
2.650,246.433,0.895946
2.660,246.392,0.862023
2.670,246.392,0.832182
2.680,246.812,0.724211
2.690,123.489,0.567279
2.700,123.452,0.677072
2.710,123.360,0.751622
2.720,123.308,0.658052
2.730,123.176,0.786470
2.740,123.432,0.769517
2.750,123.454,0.770445
2.760,123.682,0.699657
